frame_of_detection,track_id_1,class_1,track_id_2,class_2,predicted_TTC_seconds
46,6,car,17,traffic light,1.8
46,8,car,14,person,0.30000000000000004
46,8,car,40,person,0.8
46,10,car,62,car,1.0
46,11,car,62,car,1.0
46,17,traffic light,68,car,1.3
46,18,car,62,car,0.8
46,33,traffic light,62,car,0.6000000000000001
46,62,car,75,traffic light,0.6000000000000001
47,2,car,62,car,0.9
47,5,car,18,car,0.1
47,8,car,14,person,1.8
47,8,car,40,person,1.5
47,10,car,11,car,0.1
47,10,car,62,car,1.0
47,17,traffic light,62,car,1.1
47,17,traffic light,68,car,1.9000000000000001
47,18,car,62,car,0.7000000000000001
47,33,traffic light,62,car,0.6000000000000001
47,62,car,75,traffic light,0.6000000000000001
48,2,car,11,car,0.1
48,2,car,62,car,1.0
48,6,car,17,traffic light,1.6
48,17,traffic light,62,car,1.1
48,18,car,33,traffic light,0.1
48,18,car,62,car,0.8
48,33,traffic light,75,traffic light,0.1
48,62,car,75,traffic light,0.6000000000000001
49,2,car,62,car,1.0
49,6,car,17,traffic light,1.9000000000000001
49,17,traffic light,62,car,1.2000000000000002
49,18,car,62,car,0.8
49,33,traffic light,62,car,0.6000000000000001
49,62,car,75,traffic light,0.6000000000000001
49,68,car,81,traffic light,0.9
50,1,car,3,car,0.1
50,2,car,62,car,1.2000000000000002
50,8,car,80,person,0.1
50,11,car,62,car,1.2000000000000002
50,17,traffic light,62,car,1.3
50,17,traffic light,68,car,1.6
50,18,car,62,car,0.9
50,33,traffic light,62,car,0.8
51,1,car,3,car,0.1
51,2,car,18,car,0.1
51,3,car,8,car,2.0
51,3,car,80,person,0.1
51,5,car,18,car,0.1
51,8,car,80,person,0.1
51,10,car,62,car,1.3
51,11,car,62,car,1.2000000000000002
51,17,traffic light,62,car,1.2000000000000002
51,18,car,33,traffic light,0.1
51,18,car,62,car,0.9
51,18,car,75,traffic light,0.1
51,33,traffic light,62,car,0.8
51,33,traffic light,75,traffic light,0.1
51,68,car,81,traffic light,1.1
52,1,car,20,person,0.1
52,2,car,12,person,0.1
52,2,car,68,car,1.6
52,5,car,18,car,0.1
