frame,track_id,class,x1,y1,x2,y2
4,11,car,296.8560791015625,150.6999053955078,327.34393310546875,173.45355224609375
4,12,person,247.52484130859375,152.44577026367188,262.1972351074219,184.63209533691406
4,13,car,27.66364097595215,272.51171875,108.35079956054688,338.29522705078125
4,14,person,135.16285705566406,147.29144287109375,147.0989990234375,174.64442443847656
4,15,car,385.4779357910156,135.55783081054688,416.733642578125,158.44317626953125
4,16,person,133.86346435546875,215.7934112548828,158.37542724609375,261.9787902832031
4,17,traffic light,387.38165283203125,69.57533264160156,400.9693908691406,87.11552429199219
4,18,car,305.1688232421875,184.0826416015625,358.9037170410156,235.28041076660156
4,19,car,257.2725524902344,324.94000244140625,302.6978759765625,359.4220275878906
4,20,motorcycle,132.81634521484375,233.16751098632812,165.54632568359375,264.3283386230469
